BKTXT,TCODE,AEDAT,VGART,FLS_RSTO,MANDT,EXNUM,BLA2D,GTS_CUSREF_NO,USNAM,MSR_ACTIVE,CPUTM,TCODE2,BLAUM,MJAHR,CPUDT,LE_VBELN,XABLN,SPE_BUDAT_ZONE,WEVER,SPE_MDNUM_EWM,AWSYS,KNUMV,SPE_BUDAT_UHR,MBLNR,BLART,BLDAT,BUDAT,FRBNR,XCOMPL,FRATH,BFWMS,XBLNR,SPE_LOGSYS,LAST_UPDATED_DT_TS
                         ,    ,null,WA, ,900,          ,  ,                                   ,14703       , ,1970-01-01T22:01:59.000Z,MB1C                ,PR,2023,2023-07-03,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958303433,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
GR Through ABRM Interface,    ,null,WF, ,900,          ,  ,                                   ,51000868    , ,1970-01-01T23:10:05.000Z,MB31                ,PR,2023,2023-07-03,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,5018303381,WE,2023-07-03,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WA, ,900,          ,  ,                                   ,14703       , ,1970-01-01T22:01:49.000Z,MB1C                ,PR,2023,2023-07-02,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958285978,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-03 03:02:15.864432
                         ,    ,null,WA, ,900,          ,  ,                                   ,14703       , ,1970-01-01T22:01:54.000Z,MB1C                ,PR,2023,2023-07-02,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958285979,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-03 03:02:15.864432
                         ,    ,null,WA, ,900,          ,  ,                                   ,14703       , ,1970-01-01T22:09:04.000Z,MB1C                ,PR,2023,2023-07-02,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958285984,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-03 03:02:15.864432
                         ,    ,null,WA, ,900,          ,  ,                                   ,14703       , ,1970-01-01T22:09:08.000Z,MB1C                ,PR,2023,2023-07-02,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958286035,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-03 03:02:15.864432
                         ,    ,null,WA, ,900,          ,  ,                                   ,14703       , ,1970-01-01T22:09:13.000Z,MB1C                ,PR,2023,2023-07-02,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958286036,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-03 03:02:15.864432
                         ,    ,null,WA, ,900,          ,  ,                                   ,14703       , ,1970-01-01T22:10:20.000Z,MB1C                ,PR,2023,2023-07-02,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958286038,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-03 03:02:15.864432
                         ,    ,null,WA, ,900,          ,  ,                                   ,14703       , ,1970-01-01T22:15:26.000Z,MB1C                ,PR,2023,2023-07-02,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958286043,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-03 03:02:15.864432
                         ,    ,null,WA, ,900,          ,  ,                                   ,14703       , ,1970-01-01T22:15:30.000Z,MB1C                ,PR,2023,2023-07-02,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958286044,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-03 03:02:15.864432
                         ,    ,null,WA, ,900,          ,  ,                                   ,14703       , ,1970-01-01T23:07:52.000Z,MB1C                ,PR,2023,2023-07-02,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958286528,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-03 03:02:15.864432
                         ,    ,null,WA, ,900,          ,  ,                                   ,BGDUSER     , ,1970-01-01T00:00:05.000Z,MB1B                ,PR,2023,2023-07-04,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958304886,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
